Type,ID,Title,Epic,Component,Design Readiness,Depends On,Suggested Assignee,Status
Epic,EPIC-0,Blueprint & Orchestration Setup,,,,,,"Done"
Story,SETUP-1,Publish design series (architecture, whiteboards, 6 component designs),EPIC-0,,,,,"Done"
Story,SETUP-2,Author loop.md (code-phase loop),EPIC-0,,,,,"Done"
Story,SETUP-3,Author orchestration.md (parallel strategy + master review protocol),EPIC-0,,,,,"Done"
Story,SETUP-4,Build blueprint skeleton (src/),EPIC-0,,,,,"Done"
Task,SETUP-5,Freeze blueprint - confirm no further interface changes before parallel start,EPIC-0,,,SETUP-4,You,"To Do"
Epic,EPIC-A,Group A - Foundation,,,,,,"To Do"
Story,A-15,Implement Reliability & Resilience,EPIC-A,15,Full design,SETUP-5,Codex CLI,"To Do"
Story,A-16,Implement Observability & Governance,EPIC-A,16,Full design,SETUP-5,Codex CLI,"To Do"
Story,A-17,Implement Security & Privacy,EPIC-A,17,Full design,SETUP-5,Broc CLI,"To Do"
Story,A-18,Implement System Infrastructure,EPIC-A,18,Full design,SETUP-5,Broc CLI,"To Do"
Story,A-01,Implement User & Portfolio,EPIC-A,01,Whiteboard only,SETUP-5,Codex CLI,"To Do"
Story,A-11,Implement Tools & Environment,EPIC-A,11,Whiteboard only,SETUP-5,Broc CLI,"To Do"
Story,A-10,Implement Agent Runtime,EPIC-A,10,Full design,SETUP-5,Codex CLI,"To Do"
Story,A-06,Implement Memory,EPIC-A,06,"Full design, tech pick still open (ADR-0010)",SETUP-5,Broc CLI,"To Do"
Task,BLOCK-A-06,Resolve Mem0 vs Supermemory before A-06 is mergeable,EPIC-A,06,,A-06,You,"To Do"
Task,REVIEW-A,Master review: Group A,EPIC-A,,,"A-15,A-16,A-17,A-18,A-01,A-11,A-10,A-06",Master Reviewer,"To Do"
Epic,EPIC-B,Group B - Acquisition chain,,,,,,"To Do"
Story,B-02,Implement Data & Sources,EPIC-B,02,Whiteboard only,SETUP-5,Codex CLI,"To Do"
Story,B-03,Implement Data Processing & Quality,EPIC-B,03,Whiteboard only,B-02,Codex CLI,"To Do"
Story,B-04,Implement Knowledge & Entity Model,EPIC-B,04,Whiteboard only,B-03,Codex CLI,"To Do"
Task,REVIEW-B,Master review: Group B,EPIC-B,,,B-04,Master Reviewer,"To Do"
Epic,EPIC-C,Group C - Perception,,,,,,"To Do"
Story,C-07,Implement Event & Observation,EPIC-C,07,Whiteboard only,"REVIEW-A,REVIEW-B",Broc CLI,"To Do"
Story,C-05,Implement Retrieval & Context,EPIC-C,05,Full design,"REVIEW-A,REVIEW-B",Codex CLI,"To Do"
Task,REVIEW-C,Master review: Group C,EPIC-C,,,"C-07,C-05",Master Reviewer,"To Do"
Epic,EPIC-D,Group D - Reasoning,,,,,,"To Do"
Story,D-08,Implement Analysis & Reasoning,EPIC-D,08,Whiteboard only,"REVIEW-C,A-06",Codex CLI,"To Do"
Story,D-09,Implement Evidence & Verification,EPIC-D,09,Full design,"REVIEW-C,A-06",Broc CLI,"To Do"
Task,REVIEW-D,Master review: Group D,EPIC-D,,,"D-08,D-09",Master Reviewer,"To Do"
Epic,EPIC-E,Group E - Governance,,,,,,"To Do"
Story,E-12,Implement Decision & Policy,EPIC-E,12,Whiteboard only,REVIEW-D,Codex CLI,"To Do"
Task,REVIEW-E,Master review: Group E,EPIC-E,,,E-12,Master Reviewer,"To Do"
Epic,EPIC-F,Group F - Output,,,,,,"To Do"
Story,F-13,Implement Interaction & Notification,EPIC-F,13,Whiteboard only,REVIEW-E,Broc CLI,"To Do"
Task,REVIEW-F,Master review: Group F,EPIC-F,,,F-13,Master Reviewer,"To Do"
Epic,EPIC-G,Group G - Learning loop,,,,,,"To Do"
Task,BLOCK-G-SCOPE,Resolve whether Learning & Evaluation is in scope for this build round,EPIC-G,14,,REVIEW-F,You,"To Do"
Story,G-14,Implement Learning & Evaluation,EPIC-G,14,Whiteboard only,BLOCK-G-SCOPE,Codex CLI,"To Do"
Task,REVIEW-G,Master review: Group G,EPIC-G,,,G-14,Master Reviewer,"To Do"
